Codigo Municipio,Nombre Municipio,Codigo Departamento,Codigo pais
27135,EL CANTÓN DEL SAN PABLO,27,CO
27150,CARMEN DEL DARIÉN,27,CO
27160,CÉRTEGUI,27,CO
27205,CONDOTO,27,CO
27245,EL CARMEN DE ATRATO,27,CO
27250,EL LITORAL DEL SAN JUAN,27,CO
27361,ISTMINA,27,CO
27372,JURADÓ,27,CO
27413,LLORÓ,27,CO
27425,MEDIO ATRATO (BETÉ),27,CO
27430,MEDIO BAUDÓ,27,CO
27450,MEDIO SAN JUAN (ANDAGOYA),27,CO
27491,NÓVITA,27,CO
27495,NUQUÍ,27,CO
27580,RÍO IRÓ (SANTA RITA),27,CO
27600,RÍO QUITO (PAIMADÓ),27,CO
27615,RIOSUCIO,27,CO
27660,SAN JOSÉ DEL PALMAR,27,CO
27745,SIPÍ,27,CO
27787,TADÓ,27,CO
27800,UNGUÍA,27,CO
27810,UNIÓN PANAMERICANA (LAS ÁNIMAS),27,CO
41001,NEIVA,41,CO
41006,ACEVEDO,41,CO
41013,AGRADO,41,CO
41016,AIPE,41,CO
41020,ALGECIRAS,41,CO
41026,ALTAMIRA,41,CO
41078,BARAYA,41,CO
41132,CAMPOALEGRE,41,CO
41206,COLOMBIA,41,CO
41244,ELÍAS,41,CO
41298,GARZÓN,41,CO
41306,GIGANTE,41,CO
41319,GUADALUPE,41,CO
41349,HOBO,41,CO
41357,ÍQUIRA,41,CO
41359,ISNOS,41,CO
41378,LA ARGENTINA (LA PLATA VIEJA),41,CO
41396,LA PLATA,41,CO
41483,NÁTAGA,41,CO
41503,OPORAPA,41,CO
41518,PAICOL,41,CO
41524,PALERMO,41,CO
41530,PALESTINA,41,CO
41548,PITAL,41,CO
41551,PITALITO,41,CO
41615,RIVERA,41,CO
41660,SALADOBLANCO,41,CO
41668,SAN AGUSTÍN,41,CO
41676,SANTA MARÍA,41,CO
41770,SUAZA,41,CO
41791,TARQUI,41,CO
41797,TESALIA (CARNICERÍAS),41,CO
41799,TELLO,41,CO
41801,TERUEL,41,CO
41807,TIMANÁ,41,CO
41872,VILLAVIEJA,41,CO
41885,YAGUARÁ,41,CO
44001,RIOHACHA,44,CO
44035,ALBANIA,44,CO
44078,BARRANCAS,44,CO
44090,DIBULLA,44,CO
44098,DISTRACCIÓN,44,CO
44110,EL MOLINO,44,CO
44279,FONSECA,44,CO
44378,HATONUEVO,44,CO
44420,LA JAGUA DEL PILAR,44,CO
44430,MAICAO,44,CO
44560,MANAURE,44,CO
44650,SAN JUAN DEL CESAR,44,CO
44847,URIBIA,44,CO
44855,URUMITA,44,CO
44874,VILLANUEVA,44,CO
47001,SANTA MARTA,47,CO
47030,ALGARROBO,47,CO
47053,ARACATACA,47,CO
47058,ARIGUANÍ,47,CO
47161,CERRO DE SAN ANTONIO,47,CO
47170,CHIBOLO,47,CO
47189,CIÉNAGA,47,CO
47205,CONCORDIA,47,CO
47245,EL BANCO,47,CO
47258,EL PIÑÓN,47,CO
47268,EL RETÉN,47,CO
47288,FUNDACIÓN,47,CO
47318,GUAMAL,47,CO
47460,NUEVA GRANADA,47,CO
47541,PEDRAZA,47,CO
47545,PIJIÑO DEL CARMEN,47,CO
47551,PIVIJAY,47,CO
47555,PLATO,47,CO
47570,PUEBLOVIEJO,47,CO
47605,REMOLINO,47,CO
47660,SABANAS DE SAN ÁNGEL,47,CO
47675,SALAMINA,47,CO
47692,SAN SEBASTIÁN DE BUENAVISTA,47,CO
47703,SAN ZENÓN,47,CO
47707,SANTA ANA,47,CO
47720,SANTA BÁRBARA DE PINTO,47,CO
47745,SITIONUEVO,47,CO
47798,TENERIFE,47,CO
47960,ZAPAYÁN,47,CO
47980,ZONA BANANERA,47,CO
50001,VILLAVICENCIO,50,CO
50006,ACACÍAS,50,CO
50110,BARRANCA DE UPÍA,50,CO
50124,CABUYARO,50,CO
50150,CASTILLA LA NUEVA,50,CO
50223,CUBARRAL,50,CO
50226,CUMARAL,50,CO
50245,EL CALVARIO,50,CO
50251,EL CASTILLO,50,CO
50270,EL DORADO,50,CO
50287,FUENTEDEORO,50,CO
50313,GRANADA,50,CO
50318,GUAMAL,50,CO
50325,MAPIRIPÁN,50,CO
50330,MESETAS,50,CO
50350,LA MACARENA,50,CO
50370,URIBE,50,CO
50400,LEJANÍAS,50,CO
50450,PUERTO CONCORDIA,50,CO
50568,PUERTO GAITÁN,50,CO
50573,PUERTO LÓPEZ,50,CO
50577,PUERTO LLERAS,50,CO
50590,PUERTO RICO,50,CO
50606,RESTREPO,50,CO
50680,SAN CARLOS DE GUAROA,50,CO
50683,SAN JUAN DE ARAMA,50,CO
50686,SAN JUANITO,50,CO
50689,SAN MARTÍN DE LOS LLANOS,50,CO
50711,VISTAHERMOSA,50,CO
52001,PASTO,52,CO
52019,ALBÁN (SAN JOSÉ),52,CO
52022,ALDANA,52,CO
52036,ANCUYÁ,52,CO
52051,ARBOLEDA,52,CO
52079,BARBACOAS,52,CO
52083,BELÉN,52,CO
52110,BUESACO,52,CO
52203,COLÓN (GÉNOVA),52,CO
52207,CONSACÁ,52,CO
52210,CONTADERO,52,CO
52215,CÓRDOBA,52,CO
52224,CUASPÚD,52,CO
52227,CUMBAL,52,CO
52233,CUMBITARA,52,CO
52240,CHACHAGÜÍ,52,CO
52250,EL CHARCO,52,CO
52254,EL PEÑOL,52,CO
52256,EL ROSARIO,52,CO
52258,EL TABLÓN DE GÓMEZ,52,CO
52260,EL TAMBO,52,CO
52287,FUNES,52,CO
52317,GUACHUCAL,52,CO
52320,GUAITARILLA,52,CO
52323,GUALMATÁN,52,CO
52352,ILES,52,CO
52354,IMUÉS,52,CO
52356,IPIALES,52,CO
52378,LA CRUZ,52,CO
52381,LA FLORIDA,52,CO
52385,LA LLANADA,52,CO
52390,LA TOLA,52,CO
52399,LA UNIÓN,52,CO
52405,LEIVA,52,CO
52411,LINARES,52,CO
52418,LOS ANDES (SOTOMAYOR),52,CO
52427,MAGÜÍ (PAYÁN),52,CO
52435,MALLAMA (PIEDRANCHA),52,CO
52473,MOSQUERA,52,CO
52480,NARIÑO,52,CO
52490,OLAYA HERRERA,52,CO
52506,OSPINA,52,CO
52520,FRANCISCO PIZARRO,52,CO
52540,POLICARPA,52,CO
52560,POTOSÍ,52,CO
52565,PROVIDENCIA,52,CO
52573,PUERRES,52,CO
52585,PUPIALES,52,CO
52612,RICAURTE,52,CO
52621,ROBERTO PAYÁN (SAN JOSÉ),52,CO
52678,SAMANIEGO,52,CO
52683,SANDONÁ,52,CO
52685,SAN BERNARDO,52,CO
52687,SAN LORENZO,52,CO
52693,SAN PABLO,52,CO
52694,SAN PEDRO DE CARTAGO,52,CO
52696,SANTA BÁRBARA,52,CO
52699,SANTACRUZ,52,CO
52720,SAPUYES,52,CO
52786,TAMINANGO,52,CO
52788,TANGUA,52,CO
52835,SAN ANDRÉS DE TUMACO,52,CO
52838,TÚQUERRES,52,CO
52885,YACUANQUER,52,CO
54001,CÚCUTA,54,CO
54003,ÁBREGO,54,CO
54051,ARBOLEDAS,54,CO
54099,BOCHALEMA,54,CO
54109,BUCARASICA,54,CO
54125,CÁCOTA DE VELASCO,54,CO
54128,CÁCHIRA,54,CO
54172,CHINÁCOTA,54,CO
54174,CHITAGÁ,54,CO
54206,CONVENCIÓN,54,CO
54223,CUCUTILLA,54,CO
54239,DURANIA,54,CO
54245,EL CARMEN,54,CO
54250,EL TARRA,54,CO
54261,EL ZULIA,54,CO
54313,GRAMALOTE,54,CO
54344,HACARÍ,54,CO
54347,HERRÁN,54,CO
54377,LABATECA,54,CO
54385,LA ESPERANZA,54,CO
54398,LA PLAYA DE BELÉN,54,CO
54405,LOS PATIOS,54,CO
54418,LOURDES,54,CO
54480,MUTISCUA,54,CO
54498,OCAÑA,54,CO
54518,PAMPLONA,54,CO
54520,PAMPLONITA,54,CO
